ServiceTag,product,new_appgroup,node,产品线,hostname,IP,OS,装机模版,机型,机房,包间,机柜编号,机位,机柜位置,ASW编号,所有产品,节点数量,节点配置,区域,service,serviceInstanceNo,runtimeResourceLimit,region
sn_51467,tianji,,Chenxiang,,,,,,docker,,,,,,,,,,,tianjicore,1,"{""mem_limit"":""8912M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_19436,tianji,,Chenxiang,,,,,,docker,,,,,,,,,,,tianjicore,1,"{""mem_limit"":""8912M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_37485,tianji,,Chenxiang,,,,,,docker,,,,,,,,,,,tianjicore,1,"{""mem_limit"":""8912M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_62310,baseService,,account-lite-web-aliyun-com,,,,,,docker,,,,,,,,,,,aas,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_62940,baseService,,account-lite-web-aliyun-com,,,,,,docker,,,,,,,,,,,aas,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_43680,base,,redis1,,,,,,docker,,,,,,,,,,,baseBizApp,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_30491,base,,redis2,,,,,,docker,,,,,,,,,,,baseBizApp,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_39076,sls,,test,,,,,,docker,,,,,,,,,,,common,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_76813,middleWare,,diamond-init,,,,,,docker,,,,,,,,,,,jmenvDiamondVips,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_20945,middleWare,,diamond-init,,,,,,docker,,,,,,,,,,,jmenvDiamondVips,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_38956,yundun,,security-auditlog-db-init,,,,,,docker,,,,,,,,,,,security-auditlog,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_87429,baseService,,umm-test,,,,,,docker,,,,,,,,,,,umm-ak,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_67583,tianji,,siterule,,,,,,docker,,,,,,,,,,,tianjimon,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_47518,tianji,,siterule,,,,,,docker,,,,,,,,,,,tianjimon,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_09145,slb,,slb-redis,,,,,,docker,,,,,,,,,,,controller,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_21960,oss,,oss_service,,,,,,docker,,,,,,,,,,,yaochi,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_38920,oss,,oss_service,,,,,,docker,,,,,,,,,,,yaochi,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_84572,dtdream,,dtcenter-test,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_94065,baseService,,resource-service-test,,,,,,docker,,,,,,,,,,,resource-service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_57819,middleWare,,hbase-server,,,,,,docker,,,,,,,,,,,hbase,1,"{""mem_limit"":""16384M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_41687,middleWare,,hbase-server,,,,,,docker,,,,,,,,,,,hbase,1,"{""mem_limit"":""16384M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_20419,middleWare,,hbase-server,,,,,,docker,,,,,,,,,,,hbase,1,"{""mem_limit"":""16384M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_17903,middleWare,,hbase-server,,,,,,docker,,,,,,,,,,,hbase,1,"{""mem_limit"":""16384M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_41906,rds,,mysql56-cluster-init,,,,,,docker,,,,,,,,,,,db-mysql,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_84971,webapp,,oam-console-aliyun-inc-com-test,,,,,,docker,,,,,,,,,,,oam,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
